Identifier	ScientificName	Parent TaxonID	TaxonRank	TaxonomicStatus	scientificNameAuthorship	namePublishedInYear	Name According To	taxonRemarks	nomenclaturalStatus
T001	Gymnodinium absumens	T161	species	accepted	Schiller	1957			
T002	Gymnodinium achromaticum	T161	species		Lebour	1917			
T003	Gymnodinium adriaticum 	T161	species		(Schmarda) Kofoid & Swezy	1921			
T297	Heteraulacus adriaticum	T003	species	heterotypic synonym	Diesing	1850			
T298	Heteroaulax adriatica	T003	species	heterotypic synonym	Diesing	1886			
T299	Peridinium adriaticum	T003	species	heterotypic synonym	Schmarda	1846			
T004	Gymnodinium aequatoriale	T161	species		Hasle	1960			
T005	Gymnodinium aeruginosum	T282	species	synonym	Stein	1883			
T006	Gymnodinium aesculum	T161	species		Baumeister	1943			
T007	Gymnodinium affine	T161	species		Dogiel	1906			
T008	Gymnodinium agaricoides	T161	species		Campbell	1973			
T009	Gymnodinium agiliforme	T161	species		Schiller	1928			
T300	Gymnodinium agiliformis	T009	species	lexical variant	Schiller				
T010	Gymnodinium alaskensis	T161	species		Bursa	1963			
T301	Gymnodinium alaskense	T010	species	lexical variant	Bursa				
T011	Gymnodinium allophron	T161	species		Larsen	1994			
T012	Gymnodinium amphiconicoides	T161	species		Schiller	1957			
T013	Gymnodinium amphityphlum	T161	species		Larsen	1994			
T014	Gymnodinium amphora	T161	species		Kofoid & Swezy	1921			
T015	Gymnodinium amplinucleum	T161	species		Campbell	1973			
T016	Gymnodinium antarcticum	T161	species		"(Balech) Thessen, Patterson & Murray"	2012			
T017	Gymnodinium arcticum	T161	species		Wulff	1919			
T018	Gymnodinium arcuatum	T161	species		Kofoid	1931			
T019	Gymnodinium arenicolus	T161	species		Dragesco	1965			
T302	Gymnodinium arenicola	T019	species	lexical variant	Dragesco	1965			
T303	Gymnodinium arenicolum	T019	species	lexical variant	Dragesco	1965			
T020	Gymnodinium armoricanum	T161	species		Villeret	1953			
T021	Gymnodinium atomatum	T161	species		Larsen	1994			
T022	Gymnodinium attenuatum	T161	species		Kofoid & Swezy	1921			
T023	Gymnodinium aurantium	T161	species		Campbell	1973			
T024	Gymnodinium auratum	T161	species		Kofoid & Swezy	1921			
T025	Gymnodinium aureolum	T161	species		(Hulburt) Hansen	2000			
T304	Gyrodinium aureolum	T025	species	homotypic synonym	Hulburt	1957			
T026	Gymnodinium aureum	T161	species		Kofoid & Swezy	1921			
T027	Gymnodinium australe	T161	species		Playfair	1919			
T305	Gymnodinium australe var. acutum	T027	variety		Playfair	1919			
T306	Gymnodinium fuscum var. cornifax	T027	variety	heterotypic synonym	(Schilling) Playfair	1917			
T028	Gymnodinium australense	T161	species		Ruinen	1938			
T029	Gymnodinium austriacum	T161	species		Schiller	1933			
T307	Gymnodinium autumnale	T029	species	heterotypic synonym	Christen	1959			
T308	Gymnodinium cruciatum	T029	species	heterotypic synonym	Thompson	1950			
T309	Gymnodinium thompsonii	T029	species	heterotypic synonym	(Thompson) Kiselev	1954			
T310	Gymnodinium titubans	T029	species	heterotypic synonym	Christen	1958			
T311	Gymnodinium tituhans	T029	species	lexical variant					
T312	Gymnodinium tridentatum	T029	species	heterotypic synonym	Schiller	1933			
T313	Gymnodinium waltzi	T029	species	heterotypic synonym	Baumeister	1957			
T314	Gymnodinium waltzii	T029	species	heterotypic synonym	Baumeister	1957			
T030	Gymnodinium autumnale	T161	species		Skvortzov	1968			
T031	Gymnodinium baccatum	T161	species		Balech	1965			
