Gymnodinium name	Correct Name or Reason for Rejecting	Reference
Gymnodinium accuminatum	Biecheleria pseudopalustris (Schiller) Moestrup, Lindberg & Daugbjerg 2009	[12,306]
Gymnodinium acidotum Nygaard	Nusuttodinium acidotum (Nygaard) Takano & Horiguchi	Takano et al. 2014
Gymnodinium acrotrochum	Gyrodinium acrotrochum Larsen 1996	[72]
Gymnodinium acuminatum Christen	Biecheleria pseudopalustris (Schiller) Moestrup, Lindberg & Daugbjerg 2009	[12,306]
Gymnodinium acutissimum Okolodkov 1997	Not code compliant	
Gymnodinium aeruginosum Stein	Nusuttodinium aeruginosum (Stein) Takano & Horiguchi	Takano et al. 2014
Gymnodinium agile Herdman 1922	Herdmania litoralis Dodge 1981	[307]
Gymnodinium agilis	Herdmania litoralis Dodge 1981	[307]
Gymnodinium alatum Litvienko 1963	Peridiniopsis berolinense (Lemmermann) Bourrelly 1968	[12]
Gymnodinium alba	Not code compliant	
Gymnodinium albida Lackey & Lackey 1970	Not code compliant	
Gymnodinium albidum Lackey & Lackey 1970	Not code compliant	
Gymnodinium amphibinioides Geitler 1924	Amphidinium amphidinioides (Geitler) Schiller 1932	[308]
Gymnodinium amphidinioides Geitler 1924	Nusuttodinium amphidinioides (Geitler) Takano & Horiguchi 2014	Takano et al. 2014
Gymnodinium amphora Kofoid & Swezy 1921	Balechina pachydermata (Kofoid & Swezy) Loeblich & Loeblich 1968	Gómez et al. 2015
Gymnodinium archimedes Pouchet 1883	Cochlodinium archimedes (Pouchet) Lemmermann 1899	[309]
Gymnodinium archimedis Pouchet 1883	Cochlodinium archimedes (Pouchet) Lemmermann 1899	[309]
Gymnodinium astigmatica Christen 1959	Not code compliant	
Gymnodinium asymmetricum Massart 1900	Katodinium asymmetricum (Massart) Loeblich	[310]
Gymnodinium bei	Pelagodinium béii (Spero) Siano et al. 2010	[311]
Gymnodinium béii H.J. Spero 1987	Pelagodinium béii (Spero) Siano et al. 2010	[311]
Gymnodinium bisetosum Lindemann	Cystodinium bisetosum (Lindemann) Huber-Pestalozzi 1950	[184]
Gymnodinium blax Harris 1939	Katodinium fungiforme (Anissimova) Loeblich 1965	[12]
Gymnodinium bohemicum Fott 1938	Katodinium bohemicum (Fott) Litvinenko 1977	[12]
Gymnodinium boreale Gaarder	Not code compliant	[312]
Gymnodinium brene	Karenia brevis (Davis) Hansen and Moestrup 2000	[7]
Gymnodinium breve Davis 1948	Karenia brevis (Davis) Hansen and Moestrup 2000	[7]
Gymnodinium brevis	Karenia brevis (Davis) Hansen and Moestrup 2000	[7]
Gymnodinium brevisulcatum F.H. Chang	Karenia brevisulcata (Chang) Hansen and Moestrup 2000	[7]
Gymnodinium canus Kofoid & Swezy 1921	Cucumeridinium coeruleum (Dogiel) Gómez et al. 2015	Gómez et al. 2015
Gymnodinium carinatum var. hiemalis Wołoszynska 1917	Woloszynskia pascheri (Suchlandt) von Stosch 1973	[12]
Gymnodinium carinatum Schilling 1891	Biecheleria pseudopalustris (Schiller) Moestrup, Lindberg & Daugbjerg 2009	[12,306]
Gymnodinium cestocoetes Thompson 1947	Woloszynskia cestocoedes (Thompson) Thompson 1950	[12]
Gymnodinium chiasmonetrium Norris 1961	Erroneously formed name, Gyrodinium chiasmonetrium Norris 1961	
Gymnodinium chloroforum	Lepidodinium chlorophorum (Elbrächter and Schnepf) Hansen et al. 2007	[313]
Gymnodinium chlorophorum Elbrächter & Schnepf 1996	Lepidodinium chlorophorum (Elbrächter and Schnepf) Hansen et al. 2007	[313]
Gymnodinium cladochroma	Takayama cladochroma (Larsen) de Salas et al. 2003	[314]
Gymnodinium cladochromum	Takayama cladochroma (Larsen) de Salas et al. 2003	[314]
Gymnodinium coerulea	Balechina coerulea (Dogiel) Taylor 1976	[315]
Gymnodinium coeruleum Dogiel 1906	Cucumeridinium coeruleum (Dogiel) Gómez et al.	Gómez et al. 2015
Gymnodinium conicum Kofoid & Swezy 1921	Spatulodinium pseudonoctiluca (Pouchet) Cachon and Cachon 1969	[316]
Gymnodinium constrictum Schütt 1895	Cochlodinium constrictum (Schütt) Lemmermann 1899	[309]
Gymnodinium contortum Schütt 1895	Gyrodinium contortum (Schütt) Kofoid and Swezy 1921	[19]
Gymnodinium cornutum Pouchet	Gyrodinium cornutum (Pouchet) Kofoid and Swezy 1921	[19]
Gymnodinium cornutum Schütt 1895	Gyrodinium schuetti (Schütt) Kofoid and Swezy 1921	[19]
Gymnodinium coronatum var. glabrum Wołoszynska	Tovellia glabra (Wołoszynska) Moestrup et al. 2005	[317]
Gymnodinium coronatum Wołoszynska 1917	Tovellia coronata (Wołoszynska) Moestrup et al. 2005	[317]
Gymnodinium corsicum	Erroneously formed name, Gyrodinium corsicum Paulmier	
Gymnodinium costatum Kofoid & Swezy 1921	Cucumeridinium coeruleum (Dogiel) Gómez et al.	Gómez et al. 2015
Gymnodinium costatum  var. glabrum Wołoszynska	Gyrodinium coronatum var. glabrum Wołoszynska	
Gymnodinium crassum Pouchet 1885	Gyrodinium crassum (Pouchet) Kofoid and Swezy 1921	[19]
Gymnodinium cruciatum (Massart) Schiller	Rejected by Silva as nomen nudum	ucjeps.berkeley.edu
Gymnodinium cruciatum J. Massart	Chilodinium cruciatum Massart 1920	[318]
Gymnodinium cucumis Schütt 1895	Cucmeridinium coeruleum (Dogiel) Gómez et al. or Cucumeridinium cucumis (Schütt) Gómez et al.	Gómez et al. 2015
Gymnodinium cuneatum	Erroneously fomed name, Gyrodinium cuneatum Kofoid & Swezy 1921	
Gymnodinium cuspidatum Cleve-Euler	Rejected by Silva as nomen nudum	ucjeps.berkeley.edu
Gymnodinium decussata	Not code compliant	
Gymnodinium dextrorsum	Not code compliant	
Gymnodinium dimorphe Baumeister 1938	Cystodinium phaseolus Pascher 1928	[12]
Gymnodinium diplococcus Cleve-Euler	Rejected by Silva as nomen nudum	ucjeps.berkeley.edu
Gymnodinium dogieli Kofoid & Swezy 1921	Balechina pachydermata (Kofoid & Swezy) Loeblich & Loeblich 1968	Gómez et al. 2015
Gymnodinium dorsum	Erroneosuly formed name, Gyrodinium dorsum Kofoid & Swezy 1921	
Gymnodinium dubium Cleve-Euler	Rejected by Silva as nomen nudum	ucjeps.berkeley.edu
Gymnodinium edax Schilling	Erroneously formed name, Glenodinium edax Schilling	
Gymnodinium elonga	Lessardia elongata Saldarriaga & Taylor	[319]
Gymnodinium elongatum Hope 1954	Lessardia elongata Saldarriaga & Taylor	[319]
Gymnodinium estuariale	Erroneously formed name, Gyrodinium estuariale Hulbert 1957	
Gymnodinium eucyaneum Hu, Yu & Zhang	Nusuttodinium acidotum (Nygaard) Takano & Horiguchi	Takano et al. 2014
Gymnodinium exavatum	Biecheleria pseudopalustris (Schiller) Moestrup, Lindberg & Daugbjerg 2009	[12,306]
Gymnodinium excavatum  var. dextrorsum	Biecheleria pseudopalustris (Schiller) Moestrup, Lindberg & Daugbjerg 2009	[12,306]
Gymnodinium excavatum Nygaard	Biecheleria pseudopalustris (Schiller) Moestrup, Lindberg & Daugbjerg 2009	[12,306]
Gymnodinium excavatum var. dextrosum Nygaard 1954	Biecheleria pseudopalustris (Schiller) Moestrup, Lindberg & Daugbjerg 2009	[12,306]
Gymnodinium faba Cleve-Euler	Rejected by Silva as nomen nudum	ucjeps.berkeley.edu
Gymnodinium falcatum	Erroneously formed name, Ceratoperidinium falcatum (Kofoid and Swezy) Reñé & de Salas 2013	[19, Reñe et al. 2013 Protist]
Gymnodinium fissoides	Erroneously formed name, Gyrodinium fissoides Elbrachter 1979	
Gymnodinium fissum Levander 1894	Levanderina fissa (Leavander) Moestrup, Hakanen, Hansen, Daugbjerg & Ellegaard 2014	[19, Moestrup et al. 2014]
Gymnodinium foliaceum Stein 1919	Erroneously formed name, Glenodinium foliaceum Stein 1919	
Gymnodinium formica	Karlodinium veneficum (Ballantine) Larsen 2000	[7]
Gymnodinium fucorum Kuster 1908	Crypthecodinium cohnii (Seligo) Chatton 1952	[320]
Gymnodinium fungiforme Schiller 1933	Katodinium fungiforme (Anissimova) Loeblich 1965	[310]
Gymnodinium fungiforme Anisimova 1925	Katodinium fungiforme (Anissimova) Loeblich 1965	[310]
Gymnodinium fusiforme Kofoid & Swezy	Erroneously formed name, Gyrodinium fusiforme Kofoid & Swezy 1921	
Gymnodinium fusum	Gyrodinium falcatum Kofoid and Swezy 1921	[19]
Gymnodinium fusus Schütt 1895	Gyrodinium falcatum Kofoid and Swezy 1921	[19]
Gymnodinium galatheanum Braarud 1957	Karlodinium veneficum (Ballantine) Larsen 2000	[7]
Gymnodinium geminatum Schütt 1895	Cochlodinium geminatum (Schütt) Lemmermann 1899	[309]
Gymnodinium glabra Wołoszynska 1918	Tovellia glabra (Wołoszynska) Moestrup et al. 2005	[317]
Gymnodinium glaciale Danysz 1886	Not code compliant	[321]
Gymnodinium glandula Herdman 1924	Katodinium glandulum (Herdman) Loeblich 1965	[310]
Gymnodinium glaucum Conrad 1926	Amphidinium conradii (Conrad) Schiller 1933	[21]
Gymnodinium gracile  var. exiguum Pouchet 1883	Rejected by Kofoid and Swezy as nomen nudum	[19]
Gymnodinium gracilis Lackey	Rejected by Silva as nomen nudum	ucjeps.berkeley.edu
Gymnodinium grave	Erroneously formed name, Gyrodinium grave (Meunier) Kofoid and Swezy 1921	
Gymnodinium halophila	Biecheleria baltica (Biecheler) Moestrup, Lindberg & Daugbjerg 2009	[306]
Gymnodinium halophilum Biecheler 1952	Biecheleria baltica (Biecheler) Moestrup, Lindberg & Daugbjerg 2009	[306]
Gymnodinium helicoides	Not code compliant	
Gymnodinium helix Schütt 1895	Cochlodinium helix (Pouchet) Lemmermann 1899	[309]
Gymnodinium helix Pouchet 1887	Cochlodinium helix (Pouchet) Lemmermann 1899	[309]
Gymnodinium helveticum  f. achroum Skuja 1948	Gyrodinium helveticum (Penard) Takano & Horiguchi 2004	[322]
Gymnodinium helveticum  var. apiculatum	Gyrodinium helveticum (Penard) Takano & Horiguchi 2004	[322]
Gymnodinium helveticum Penard 1891	Gyrodinium helveticum (Penard) Takano & Horiguchi 2004	[322]
